dataset,relative_path,file_name,binary_label,label_origin,source_category,source_fold,recording_group_id,size_bytes,sha256
esc50,wav_files/1-100032-A-0.wav,1-100032-A-0.wav,0,official_metadata:no_drone,dog,1,esc50:100032,441044,f40a849a2375c8c63312a73dd2dd6c74007301fcc21b4be2ece29a642831e3d8
esc50,wav_files/1-100038-A-14.wav,1-100038-A-14.wav,0,official_metadata:no_drone,chirping_birds,1,esc50:100038,441044,2faa39d8e59e8f292dfbdbe72bd8a00294f9535714b3c19b39904c2c17e14675
esc50,wav_files/1-100210-A-36.wav,1-100210-A-36.wav,0,official_metadata:no_drone,vacuum_cleaner,1,esc50:100210,441044,f97e97b0fe0afce323d858503b6fa3ffd6c8cb1162c43cf3b24461300fb9abf6
esc50,wav_files/1-100210-B-36.wav,1-100210-B-36.wav,0,official_metadata:no_drone,vacuum_cleaner,1,esc50:100210,441044,acfdccbb58647655b9b63ab5574c178783b969f56e05933f115ae4dd1878a524
esc50,wav_files/1-101296-A-19.wav,1-101296-A-19.wav,0,official_metadata:no_drone,thunderstorm,1,esc50:101296,441044,b0323e17979ff3d840ce3f9b7f13bf800a69a48f62632162b964efc9bfe4ef10
esc50,wav_files/1-101296-B-19.wav,1-101296-B-19.wav,0,official_metadata:no_drone,thunderstorm,1,esc50:101296,441044,bdad401df959569dc44ad26fff3ff097de5ac98cde763eb37a557a4ab441440f
esc50,wav_files/1-101336-A-30.wav,1-101336-A-30.wav,0,official_metadata:no_drone,door_wood_knock,1,esc50:101336,441044,e738266e395e378102f74e0920b05ff5937543788420d5b2a6b8d3df8bdb3910
esc50,wav_files/1-101404-A-34.wav,1-101404-A-34.wav,0,official_metadata:no_drone,can_opening,1,esc50:101404,441044,a5e9ca3a735d31404f93194af687d2eca85e4a940ccda0675755b410342e8474
esc50,wav_files/1-103298-A-9.wav,1-103298-A-9.wav,0,official_metadata:no_drone,crow,1,esc50:103298,441044,e75bd5e27e7d68b15bf17bc348d8cf4ab338e9089dc1a1564f2c434ce22db27c
esc50,wav_files/1-103995-A-30.wav,1-103995-A-30.wav,0,official_metadata:no_drone,door_wood_knock,1,esc50:103995,441044,1c1d3e65b7a58658766180d2faeeb9bdd1fe7405119bf100d9cd2f671a6e2b11
esc50,wav_files/1-103999-A-30.wav,1-103999-A-30.wav,0,official_metadata:no_drone,door_wood_knock,1,esc50:103999,441044,f33db9ec0b036d0dd17c911d456c33a59c0fc85974245a85fed56b8d2568724e
esc50,wav_files/1-104089-A-22.wav,1-104089-A-22.wav,0,official_metadata:no_drone,clapping,1,esc50:104089,441044,2b6ec14aafc6ed98c833c5c7e56780d283f3ceaea0d4c3c142b2f49fcc2fd215
esc50,wav_files/1-104089-B-22.wav,1-104089-B-22.wav,0,official_metadata:no_drone,clapping,1,esc50:104089,441044,61adeef196a98fc7b2c22104cd160bded3ce89b7e9867814b22e40a08e993291
esc50,wav_files/1-105224-A-22.wav,1-105224-A-22.wav,0,official_metadata:no_drone,clapping,1,esc50:105224,441044,a91622b0235b622d7913ae2cc9af3785a546356310507bb7ffd6f1cb6d38ab85
esc50,wav_files/1-110389-A-0.wav,1-110389-A-0.wav,0,official_metadata:no_drone,dog,1,esc50:110389,441044,4a18f3f834eb184b9f02595ac74c7de37ef8048a3da92f58f27018fec580b36a
esc50,wav_files/1-110537-A-22.wav,1-110537-A-22.wav,0,official_metadata:no_drone,clapping,1,esc50:110537,441044,9d061b30110d82a33f97eb42146d20e827b34683983a4e10fe83765f58f9d4d5
esc50,wav_files/1-115521-A-19.wav,1-115521-A-19.wav,0,official_metadata:no_drone,thunderstorm,1,esc50:115521,441044,87c3f36e376c3c26faac723d3d1a8ba0af76c8b3e1b456cfe4062975e67b88d2
esc50,wav_files/1-115545-A-48.wav,1-115545-A-48.wav,0,official_metadata:no_drone,fireworks,1,esc50:115545,441044,3ac50abf1e7c9b3086585d7d786c2f6b7b4b884108ceb4c4f643f8e3fa4caaab
esc50,wav_files/1-115545-B-48.wav,1-115545-B-48.wav,0,official_metadata:no_drone,fireworks,1,esc50:115545,441044,5f0f6888b96325412665b9265ffecfc6337f07d9e71bf98205304f9e28fd34a2
esc50,wav_files/1-115545-C-48.wav,1-115545-C-48.wav,0,official_metadata:no_drone,fireworks,1,esc50:115545,441044,8f377a0ec82ef2e7c0e7b59714180edc0a4bc039b8f362d2eeead8b1e6c5bd58
esc50,wav_files/1-115546-A-48.wav,1-115546-A-48.wav,0,official_metadata:no_drone,fireworks,1,esc50:115546,441044,abb7aaa557626692d532e71ec5257399df56df36cae6657c63522425dde0581f
esc50,wav_files/1-115920-A-22.wav,1-115920-A-22.wav,0,official_metadata:no_drone,clapping,1,esc50:115920,441044,8ed0886be0b6491573df97a5541b270415f95573cfef9b9ff0360a2b0d042bb6
esc50,wav_files/1-115920-B-22.wav,1-115920-B-22.wav,0,official_metadata:no_drone,clapping,1,esc50:115920,441044,1674d1ae06080afb7d4d91b3228fe1ab8fd4f27170c5ad76751db4e844aaf0e2
esc50,wav_files/1-115921-A-22.wav,1-115921-A-22.wav,0,official_metadata:no_drone,clapping,1,esc50:115921,441044,b87d30852b565dd2b7d5c33b6ef5d4bbaaf1c03235f98a85fde1d3ba70f1c027
esc50,wav_files/1-116765-A-41.wav,1-116765-A-41.wav,0,official_metadata:no_drone,chainsaw,1,esc50:116765,441044,1199ff6d4f5040bf20f06a441276bcd6448b1e1de4f098ce3e47d856ee97ce33
esc50,wav_files/1-11687-A-47.wav,1-11687-A-47.wav,0,official_metadata:no_drone,airplane,1,esc50:11687,441044,e622a52d904f2ec8f39c78e6f2487b84a14a927d1f9852e67a4c3c8e5dcf9419
esc50,wav_files/1-118206-A-31.wav,1-118206-A-31.wav,0,official_metadata:no_drone,mouse_click,1,esc50:118206,441044,4461fa26f119749f99a4762be421d0d64e774960be7eef9780812d48580e48fb
esc50,wav_files/1-118559-A-17.wav,1-118559-A-17.wav,0,official_metadata:no_drone,pouring_water,1,esc50:118559,441044,556d465ef6d44075c1c6f881202f001e088c20415e600be9a83714aa5d86ea07
esc50,wav_files/1-119125-A-45.wav,1-119125-A-45.wav,0,official_metadata:no_drone,train,1,esc50:119125,441044,d78fe04767546d49b741d9d7df6173152e06dcb4224d70f350c3cb73768f265d
esc50,wav_files/1-121951-A-8.wav,1-121951-A-8.wav,0,official_metadata:no_drone,sheep,1,esc50:121951,441044,03ed7b103e873f07713de2d9a17fd298eb19c204eaf54a9bfa955423c95a1a14
esc50,wav_files/1-12653-A-15.wav,1-12653-A-15.wav,0,official_metadata:no_drone,water_drops,1,esc50:12653,441044,9e8ec2f92df6dc2f9673f4c701ac327dc5455e6cfa8e108e0f5443aeaa535a65
esc50,wav_files/1-12654-A-15.wav,1-12654-A-15.wav,0,official_metadata:no_drone,water_drops,1,esc50:12654,441044,d2dd3a33d3187b9b643a345e768c4286a12a36fc23a3a2c2aaa525d1ce6e8658
esc50,wav_files/1-12654-B-15.wav,1-12654-B-15.wav,0,official_metadata:no_drone,water_drops,1,esc50:12654,441044,0aae7efcfcf849cb630434296b2de3397ecd8aaf51282feab30ee28fd91d2227
esc50,wav_files/1-13571-A-46.wav,1-13571-A-46.wav,0,official_metadata:no_drone,church_bells,1,esc50:13571,441044,92baf64d0e246d513e7a94e3778459558dcc222ec7cd30b12c58092a3d903142
esc50,wav_files/1-13572-A-46.wav,1-13572-A-46.wav,0,official_metadata:no_drone,church_bells,1,esc50:13572,441044,fdbfa0391e7433b24a268a0f716afd057ca7f75c79fe0245f5072869baf19018
esc50,wav_files/1-13613-A-37.wav,1-13613-A-37.wav,0,official_metadata:no_drone,clock_alarm,1,esc50:13613,441044,2e28b25e14611723cdcc0becfa36468a8d0329a0c141e4f1d894bd6bb5773f34
